,,,S,timedelta,bx_gse,by_gse,bz_gse,theta_gse,phi_gse,bx_gsm,by_gsm,bz_gsm,theta_gsm,phi_gsm,bt,density,speed,temperature,source
,,,train_a,0 days 00:18:00,-6.17,0.98,1.88,15.89,172,-6.17,0.98,1.88,15.89,172,6.91,2.35,369.29,145482,ac
,,,train_a,0 days 00:19:00,-6.32,1.61,1.14,9.67,166.7,-6.32,1.61,1.14,9.67,166.7,6.95,2.35,369.29,145482,ac
,,,train_a,0 days 00:20:00,-6.48,1.99,0.28,2.58,163.99,-6.48,1.99,0.28,2.58,163.99,7.13,1.2,356.72,40375,ac
,,,train_a,0 days 00:21:00,-6.42,2.1,0.14,1.39,162.91,-6.42,2.1,0.14,1.39,162.91,7.08,0.67,347.71,41954,ac
,,,train_a,0 days 00:22:00,-6.25,2.11,0.53,4.68,162.41,-6.25,2.11,0.53,4.68,162.41,6.91,0.59,343.58,48116,ac
,,,train_a,0 days 00:23:00,-6.24,2.15,0.61,5.29,162.06,-6.24,2.15,0.61,5.29,162.06,6.92,0.73,345.51,52190,ac
,,,train_a,0 days 00:24:00,-6.12,2.33,0.98,8.36,160.26,-6.12,2.33,0.98,8.36,160.26,6.91,0.75,350.37,47272,ac
,,,train_a,0 days 00:25:00,-6.07,2.18,1.17,10.02,161.6,-6.07,2.18,1.17,10.02,161.6,6.91,,,,ac
,,,train_a,0 days 00:26:00,-6,2.59,1,8.55,157.9,-6,2.59,1,8.55,157.9,6.94,0.81,344.48,66646,ac
,,,train_a,0 days 00:27:00,-6.12,2.56,0.75,6.42,158.48,-6.12,2.56,0.75,6.42,158.48,6.99,0.67,353.5,43130,ac
,,,train_a,0 days 00:28:00,-5.95,2.54,1.48,12.63,158.23,-5.95,2.54,1.48,12.63,158.23,6.93,0.76,351.77,44163,ac
,,,train_a,0 days 00:29:00,-6.18,2.28,0.65,5.64,161.04,-6.18,2.28,0.65,5.64,161.04,6.95,0.72,345.82,50025,ac
,,,train_a,0 days 00:30:00,-1.9,-4.88,1.55,4.29,185.44,-1.9,-4.88,1.55,4.29,185.44,19.34,,,,ac
,,,train_a,0 days 00:31:00,-6.24,2.24,0.64,5.52,161.38,-6.24,2.24,0.64,5.52,161.38,6.99,0.84,352.71,61745,ac
,,,train_a,0 days 00:32:00,-6.44,1.74,0.58,4.97,165.87,-6.44,1.74,0.58,4.97,165.87,7.01,0.81,349.75,54906,ac
,,,train_a,0 days 00:33:00,-6.43,1.73,0.86,7.29,165.91,-6.43,1.73,0.86,7.29,165.91,7.02,0.84,342.42,45858,ac
,,,train_a,0 days 00:34:00,-6.48,1.49,1.12,9.33,167.98,-6.48,1.49,1.12,9.33,167.98,7.05,1.06,352.18,60707,ac
,,,train_a,0 days 00:35:00,-6.51,1.37,1.12,9.29,169.03,-6.51,1.37,1.12,9.29,169.03,7.04,1.06,352.18,60707,ac
,,,train_a,0 days 00:36:00,-6.46,1.21,1.14,9.57,170.15,-6.46,1.21,1.14,9.57,170.15,6.97,1.21,345.48,76654,ac
,,,train_a,0 days 00:37:00,-6.41,1.2,1.37,11.44,170.22,-6.41,1.2,1.37,11.44,170.22,6.96,1.56,344.54,76080,ac
,,,train_a,0 days 00:38:00,-6.38,1.48,0.88,7.54,167.88,-6.38,1.48,0.88,7.54,167.88,6.91,2.15,362.25,174118,ac
,,,train_a,0 days 00:39:00,-6.4,1.32,0.75,6.46,169.2,-6.4,1.32,0.75,6.46,169.2,6.88,1.01,345.98,53734,ac
,,,train_a,0 days 00:40:00,-6.38,1.33,0.53,4.69,169.16,-6.38,1.33,0.53,4.69,169.16,6.84,,,,ac
,,,train_a,0 days 00:41:00,-6.45,1.17,0.92,7.76,170.49,-6.45,1.17,0.92,7.76,170.49,6.93,0.93,345.67,63813,ac
,,,train_a,0 days 00:42:00,-6.49,1.21,0.77,6.5,170.18,-6.49,1.21,0.77,6.5,170.18,6.96,1.09,345.66,41514,ac
,,,train_a,0 days 00:43:00,-6.54,1.36,0.34,3.08,169.04,-6.54,1.36,0.34,3.08,169.04,6.98,0.91,342.15,52172,ac
,,,train_a,0 days 00:44:00,-6.58,1.05,-0.07,-0.27,171.64,-6.58,1.05,-0.07,-0.27,171.64,6.96,,,,ac
,,,train_a,0 days 00:45:00,-6.53,1.03,-0.27,-1.86,171.8,-6.53,1.03,-0.27,-1.86,171.8,6.93,0.91,347.35,62072,ac
,,,train_a,0 days 00:46:00,-6.52,1,-0.34,-2.54,171.97,-6.52,1,-0.34,-2.54,171.97,6.93,0.57,346.24,35887,ac
,,,train_a,0 days 00:47:00,-6.52,1.06,-0.54,-4.16,171.46,-6.52,1.06,-0.54,-4.16,171.46,6.93,,,,ac
,,,train_a,0 days 00:48:00,-6.58,1.36,-0.04,-0.07,169.17,-6.58,1.36,-0.04,-0.07,169.17,7.02,,,,ac
,,,train_a,0 days 00:49:00,-6.66,0.99,0.23,2.16,172.23,-6.66,0.99,0.23,2.16,172.23,7.05,0.95,346.05,60351,ac
,,,train_a,0 days 00:50:00,-6.75,0.86,0.54,4.61,173.34,-6.75,0.86,0.54,4.61,173.34,7.12,,,,ac
,,,train_a,0 days 00:51:00,-6.71,0.94,0.72,6.06,172.78,-6.71,0.94,0.72,6.06,172.78,7.12,,,,ac
,,,train_a,0 days 00:52:00,-6.65,0.96,1.08,8.87,172.54,-6.65,0.96,1.08,8.87,172.54,7.1,0.96,348.33,51779,ac
,,,train_a,0 days 00:53:00,-6.6,0.8,1.3,10.73,173.78,-6.6,0.8,1.3,10.73,173.78,7.08,0.56,326.94,18877,ac
,,,train_a,0 days 00:54:00,-6.43,0.79,1.74,14.33,173.74,-6.43,0.79,1.74,14.33,173.74,7.02,0.97,345.98,49545,ac
,,,train_a,0 days 00:55:00,-6.6,0.89,1.28,10.51,173,-6.6,0.89,1.28,10.51,173,7.07,1.25,345.97,62392,ac
,,,train_a,0 days 00:56:00,-6.68,0.75,1.27,10.35,174.19,-6.68,0.75,1.27,10.35,174.19,7.13,1.17,350.28,69095,ac
,,,train_a,0 days 00:57:00,-6.73,0.71,1.27,10.34,174.54,-6.73,0.71,1.27,10.34,174.54,7.16,0.57,326.66,16306,ac
,,,train_a,0 days 00:58:00,-6.66,0.62,1.32,10.78,175.31,-6.66,0.62,1.32,10.78,175.31,7.11,0.99,344.92,58207,ac
,,,train_a,0 days 00:59:00,-6.52,0.67,1.31,10.9,174.78,-6.52,0.67,1.31,10.9,174.78,7,0.98,345.4,75374,ac
,,,train_a,0 days 01:00:00,-6.56,0.27,1.35,11.21,178.22,-6.56,0.27,1.35,11.21,178.22,7.01,0.36,317.16,,ac
,,,train_a,0 days 01:01:00,-6.53,0.53,1.42,11.78,175.95,-6.53,0.53,1.42,11.78,175.95,7,0.13,312.68,,ac
,,,train_a,0 days 01:02:00,-6.47,0.56,1.36,11.41,175.62,-6.47,0.56,1.36,11.41,175.62,6.92,,,,ac
,,,train_a,0 days 01:03:00,-6.52,0.39,1.31,10.93,177.14,-6.52,0.39,1.31,10.93,177.14,6.95,,,,ac
,,,train_a,0 days 01:04:00,-6.48,0.28,1.49,12.4,178.01,-6.48,0.28,1.49,12.4,178.01,6.95,0.3,313.09,,ac
,,,train_a,0 days 01:05:00,-6.52,-0.28,1.63,13.38,182.83,-6.52,-0.28,1.63,13.38,182.83,7.04,1.18,344.99,64165,ac
,,,train_a,0 days 01:06:00,-6.44,-0.82,1.78,14.69,187.37,-6.44,-0.82,1.78,14.69,187.37,7.02,2.16,360.58,179422,ac
,,,train_a,0 days 01:07:00,-6.34,-1.05,1.94,16.01,189.4,-6.34,-1.05,1.94,16.01,189.4,7,2.16,360.58,179422,ac
,,,train_a,0 days 01:08:00,-6.3,-0.9,2.1,17.37,188.19,-6.3,-0.9,2.1,17.37,188.19,7,2.38,358.61,172618,ac
,,,train_a,0 days 01:09:00,-6.3,-0.58,2.02,16.81,185.49,-6.3,-0.58,2.02,16.81,185.49,6.97,1.8,363.79,178347,ac
,,,train_a,0 days 01:10:00,-6.45,-0.4,1.89,15.52,183.81,-6.45,-0.4,1.89,15.52,183.81,7.05,1.02,346.26,64533,ac
,,,train_a,0 days 01:11:00,-6.42,-0.61,1.89,15.6,185.61,-6.42,-0.61,1.89,15.6,185.61,7.03,1.81,365.69,176804,ac
,,,train_a,0 days 01:12:00,-6.3,-0.61,2.27,18.71,185.74,-6.3,-0.61,2.27,18.71,185.74,7.03,2.36,358.05,171735,ac
,,,train_a,0 days 01:13:00,-6.38,-1.15,1.89,15.49,190.2,-6.38,-1.15,1.89,15.49,190.2,7.07,1.26,345.38,32759,ac
,,,train_a,0 days 01:14:00,-6.28,-1.06,2.02,16.71,189.44,-6.28,-1.06,2.02,16.71,189.44,7.02,2.77,354.86,154786,ac
,,,train_a,0 days 01:15:00,-6.39,-0.55,2,16.48,185.11,-6.39,-0.55,2,16.48,185.11,7.04,1.37,342.08,53098,ac
,,,train_a,0 days 01:16:00,-6.41,1.39,0.5,4.21,168.6,-6.41,1.39,0.5,4.21,168.6,6.97,1.34,343.04,56439,ac
,,,train_a,0 days 01:17:00,-6.37,2.05,-0.05,-0.15,163.1,-6.37,2.05,-0.05,-0.15,163.1,6.98,0.56,344.19,49362,ac
,,,train_a,0 days 01:18:00,-6.42,1.95,-0.07,-0.25,164.06,-6.42,1.95,-0.07,-0.25,164.06,7.03,0.56,344.96,62127,ac
,,,train_a,0 days 01:19:00,-6.39,1.94,-0.09,-0.39,164.07,-6.39,1.94,-0.09,-0.39,164.07,6.98,0.61,345.36,46854,ac
,,,train_a,0 days 01:20:00,-6.5,1.75,0.13,1.37,165.91,-6.5,1.75,0.13,1.37,165.91,7.05,0.18,322.23,,ac
,,,train_a,0 days 01:21:00,-6.5,1.78,0.44,3.75,165.59,-6.5,1.78,0.44,3.75,165.59,7.06,0.36,319.14,20703,ac
,,,train_a,0 days 01:22:00,-6.55,1.66,0.46,3.98,166.72,-6.55,1.66,0.46,3.98,166.72,7.06,0.65,343.16,61468,ac
,,,train_a,0 days 01:23:00,-6.65,1.25,0.67,5.58,170.1,-6.65,1.25,0.67,5.58,170.1,7.08,0.65,343.16,61468,ac
,,,train_a,0 days 01:24:00,-6.59,0.52,1.51,12.36,176.08,-6.59,0.52,1.51,12.36,176.08,7.08,0.76,339.52,52514,ac
,,,train_a,0 days 01:25:00,-6.55,0.52,1.66,13.6,176.08,-6.55,0.52,1.66,13.6,176.08,7.08,0.44,326.57,15461,ac
,,,train_a,0 days 01:26:00,-6.58,0.49,1.66,13.57,176.28,-6.58,0.49,1.66,13.57,176.28,7.09,0.45,319.16,23594,ac
,,,train_a,0 days 01:27:00,-6.62,0.26,1.73,14.05,178.28,-6.62,0.26,1.73,14.05,178.28,7.13,1.01,336.19,51918,ac
,,,train_a,0 days 01:28:00,-6.58,0.31,1.78,14.45,177.88,-6.58,0.31,1.78,14.45,177.88,7.13,0.91,340.91,28060,ac
,,,train_a,0 days 01:29:00,-6.72,1.13,0.92,7.49,171.22,-6.72,1.13,0.92,7.49,171.22,7.17,0.1,299.38,,ac
,,,train_a,0 days 01:30:00,-6.83,0.74,1.21,9.7,174.37,-6.83,0.74,1.21,9.7,174.37,7.25,0.08,308.74,,ac
,,,train_a,0 days 01:31:00,-6.8,0.93,1.12,9.06,172.85,-6.8,0.93,1.12,9.06,172.85,7.25,0.15,305.52,,ac
,,,train_a,0 days 01:32:00,-6.86,0.96,1.07,8.61,172.74,-6.86,0.96,1.07,8.61,172.74,7.29,,,,ac
,,,train_a,0 days 01:33:00,-6.81,1.12,0.96,7.75,171.41,-6.81,1.12,0.96,7.75,171.41,7.25,0.14,305.55,,ac
,,,train_a,0 days 01:34:00,-6.83,1.04,0.97,7.8,172.06,-6.83,1.04,0.97,7.8,172.06,7.28,,,,ac
,,,train_a,0 days 01:35:00,-6.75,1.07,1.34,10.8,171.72,-6.75,1.07,1.34,10.8,171.72,7.24,0.29,311.7,11245,ac
,,,train_a,0 days 01:36:00,-5.84,-0.36,0.53,7.12,182.32,-5.84,-0.36,0.53,7.12,182.32,8.42,,,,ac
,,,train_a,0 days 01:37:00,-6.75,1.44,1.09,8.79,168.71,-6.75,1.44,1.09,8.79,168.71,7.25,0.48,320.05,13590,ac
,,,train_a,0 days 01:38:00,-6.75,1.65,0.75,6.12,167.07,-6.75,1.65,0.75,6.12,167.07,7.29,0.39,322,22831,ac
,,,train_a,0 days 01:39:00,-6.8,1.8,0.61,4.98,166.07,-6.8,1.8,0.61,4.98,166.07,7.36,0.39,322,22831,ac
,,,train_a,0 days 01:40:00,-6.83,1.53,0.86,6.93,168.27,-6.83,1.53,0.86,6.93,168.27,7.38,0.34,321.27,12436,ac
,,,train_a,0 days 01:41:00,-6.71,1.94,0.38,3.22,164.79,-6.71,1.94,0.38,3.22,164.79,7.3,0.41,315.73,21229,ac
,,,train_a,0 days 01:42:00,-6.73,2.13,0.43,3.54,163.37,-6.73,2.13,0.43,3.54,163.37,7.35,0.22,321.3,14168,ac
,,,train_a,0 days 01:43:00,-6.7,2,0.5,4.18,164.28,-6.7,2,0.5,4.18,164.28,7.31,0.22,319.32,,ac
,,,train_a,0 days 01:44:00,-6.72,1.93,0.85,6.92,164.85,-6.72,1.93,0.85,6.92,164.85,7.33,0.27,321.95,13870,ac
,,,train_a,0 days 01:45:00,-6.96,1.38,1.01,7.96,169.58,-6.96,1.38,1.01,7.96,169.58,7.47,0.22,314.01,,ac
,,,train_a,0 days 01:46:00,-6.98,1.56,0.71,5.6,168.16,-6.98,1.56,0.71,5.6,168.16,7.49,0.39,321.88,11887,ac
,,,train_a,0 days 01:47:00,-7.06,1.4,0.57,4.55,169.5,-7.06,1.4,0.57,4.55,169.5,7.51,0.33,310.77,,ac
,,,train_a,0 days 01:48:00,-6.97,1.86,-0.2,-1.32,165.81,-6.97,1.86,-0.2,-1.32,165.81,7.49,0.64,321.06,16977,ac
,,,train_a,0 days 01:49:00,-7.13,1.34,0.51,3.95,170.05,-7.13,1.34,0.51,3.95,170.05,7.61,0.34,317.86,14195,ac
,,,train_a,0 days 01:50:00,-7.26,1.05,1.37,10.27,172.41,-7.26,1.05,1.37,10.27,172.41,7.74,0.17,308.9,,ac
,,,train_a,0 days 01:51:00,-7.31,0.64,1.47,11.01,175.52,-7.31,0.64,1.47,11.01,175.52,7.75,1.09,338.78,38960,ac
,,,train_a,0 days 01:52:00,-7.23,0.48,1.87,13.99,176.67,-7.23,0.48,1.87,13.99,176.67,7.75,1.82,336.01,60761,ac
,,,train_a,0 days 01:53:00,-7.19,0.61,1.94,14.48,175.68,-7.19,0.61,1.94,14.48,175.68,7.75,1.93,336.47,46685,ac
,,,train_a,0 days 01:54:00,-7.12,0.67,2.28,17,175.28,-7.12,0.67,2.28,17,175.28,7.81,1.11,339.59,46071,ac
,,,train_a,0 days 01:55:00,-7.07,0.77,2.55,18.96,174.41,-7.07,0.77,2.55,18.96,174.41,7.85,1.11,339.59,46071,ac
,,,train_a,0 days 01:56:00,-7.09,0.73,2.5,18.63,174.6,-7.09,0.73,2.5,18.63,174.6,7.8,1.38,340.95,44312,ac
,,,train_a,0 days 01:57:00,-7.09,0.89,2.54,18.84,173.43,-7.09,0.89,2.54,18.84,173.43,7.83,1.82,337.99,39785,ac
,,,train_a,0 days 01:58:00,-7.14,0.85,2.34,17.37,173.87,-7.14,0.85,2.34,17.37,173.87,7.85,1.42,338.93,58758,ac
,,,train_a,0 days 01:59:00,-7.21,0.82,2.17,16.07,174.12,-7.21,0.82,2.17,16.07,174.12,7.85,0.99,340.34,37009,ac
,,,train_a,0 days 02:00:00,-7.22,0.82,2.02,15.01,174.17,-7.22,0.82,2.02,15.01,174.17,7.84,1.27,336.55,44423,ac
,,,train_a,0 days 02:01:00,-7.17,0.99,2.1,15.62,172.7,-7.17,0.99,2.1,15.62,172.7,7.82,1.39,335.73,50598,ac
,,,train_a,0 days 02:02:00,-7.19,1,2.08,15.49,172.69,-7.19,1,2.08,15.49,172.69,7.82,0.85,337.33,42121,ac
,,,train_a,0 days 02:03:00,-7.18,0.77,2.17,16.16,174.42,-7.18,0.77,2.17,16.16,174.42,7.8,0.96,338.16,39013,ac
,,,train_a,0 days 02:04:00,-7.16,0.69,2.34,17.33,175.05,-7.16,0.69,2.34,17.33,175.05,7.85,1.81,340.4,79217,ac
,,,train_a,0 days 02:05:00,-7.08,1.06,2.28,16.94,172.31,-7.08,1.06,2.28,16.94,172.31,7.83,1.3,334.17,45573,ac
,,,train_a,0 days 02:06:00,-7.14,1.08,2.2,16.32,172.07,-7.14,1.08,2.2,16.32,172.07,7.82,0.81,343.03,46598,ac
,,,train_a,0 days 02:07:00,-7.31,0.55,1.78,13.15,176.23,-7.31,0.55,1.78,13.15,176.23,7.82,1.53,332.83,47461,ac
,,,train_a,0 days 02:08:00,-7.32,0.73,1.56,11.64,174.79,-7.32,0.73,1.56,11.64,174.79,7.77,1.25,333.61,48817,ac
,,,train_a,0 days 02:09:00,-7.31,0.74,1.75,13,174.76,-7.31,0.74,1.75,13,174.76,7.84,,,,ac
,,,train_a,0 days 02:10:00,-7.28,0.8,2.03,14.97,174.24,-7.28,0.8,2.03,14.97,174.24,7.87,0.99,341.91,55044,ac
,,,train_a,0 days 02:11:00,-7.19,0.89,2.31,17.05,173.62,-7.19,0.89,2.31,17.05,173.62,7.89,0.99,341.91,55044,ac
,,,train_a,0 days 02:12:00,-7.2,0.89,2.37,17.46,173.56,-7.2,0.89,2.37,17.46,173.56,7.91,1.32,335.52,58140,ac
,,,train_a,0 days 02:13:00,-7.2,0.95,2.38,17.51,173.19,-7.2,0.95,2.38,17.51,173.19,7.92,1.18,343.41,51788,ac
,,,train_a,0 days 02:14:00,-7.2,0.85,2.31,16.95,173.93,-7.2,0.85,2.31,16.95,173.93,7.9,0.92,342.81,46601,ac
,,,train_a,0 days 02:15:00,-7.13,0.96,2.37,17.5,173.05,-7.13,0.96,2.37,17.5,173.05,7.86,1.62,340.37,68478,ac
,,,train_a,0 days 02:16:00,-7.17,1.1,2.28,16.84,171.88,-7.17,1.1,2.28,16.84,171.88,7.87,0.51,312.86,,ac
,,,train_a,0 days 02:17:00,-7.14,1.28,2.33,17.2,170.59,-7.14,1.28,2.33,17.2,170.59,7.89,0.49,313.81,,ac
,,,train_a,0 days 02:18:00,-7.16,1.19,2.18,16.09,171.33,-7.16,1.19,2.18,16.09,171.33,7.87,0.26,314.04,,ac
,,,train_a,0 days 02:19:00,-7.13,1.23,2.2,16.34,170.95,-7.13,1.23,2.2,16.34,170.95,7.83,0.33,314.95,,ac
,,,train_a,0 days 02:20:00,-7.14,0.99,2.25,16.67,172.88,-7.14,0.99,2.25,16.67,172.88,7.85,0.28,313.8,,ac
,,,train_a,0 days 02:21:00,-7.18,1.07,2.4,17.67,172.12,-7.18,1.07,2.4,17.67,172.12,7.92,,,,ac
,,,train_a,0 days 02:22:00,-7.05,1.47,2.36,17.61,168.94,-7.05,1.47,2.36,17.61,168.94,7.83,0.23,315.19,,ac
,,,train_a,0 days 02:23:00,-7.28,0.74,2.07,15.22,174.72,-7.28,0.74,2.07,15.22,174.72,7.88,1.72,335.86,57068,ac
,,,train_a,0 days 02:24:00,-7.32,0.56,1.96,14.4,176.09,-7.32,0.56,1.96,14.4,176.09,7.87,1.78,332.64,46443,ac
,,,train_a,0 days 02:25:00,-7.32,0.54,1.97,14.53,176.31,-7.32,0.54,1.97,14.53,176.31,7.87,0.27,315.04,,ac
,,,train_a,0 days 02:26:00,-7.26,0.73,2.06,15.29,174.75,-7.26,0.73,2.06,15.29,174.75,7.84,1.47,333.2,60515,ac
,,,train_a,0 days 02:27:00,-7.33,0.67,2.03,14.95,175.25,-7.33,0.67,2.03,14.95,175.25,7.88,1.47,333.2,60515,ac
,,,train_a,0 days 02:28:00,-7.33,0.65,2,14.71,175.43,-7.33,0.65,2,14.71,175.43,7.87,,,,ac
,,,train_a,0 days 02:29:00,-7.36,0.57,1.93,14.16,176.05,-7.36,0.57,1.93,14.16,176.05,7.89,1.03,340.9,47912,ac
,,,train_a,0 days 02:30:00,-7.34,0.58,1.88,13.88,175.95,-7.34,0.58,1.88,13.88,175.95,7.86,0.44,313.45,,ac
,,,train_a,0 days 02:31:00,-7.3,0.63,1.86,13.75,175.57,-7.3,0.63,1.86,13.75,175.57,7.83,0.63,309.32,14336,ac
,,,train_a,0 days 02:32:00,-7.34,0.6,1.95,14.35,175.82,-7.34,0.6,1.95,14.35,175.82,7.88,1.5,330.23,57684,ac
,,,train_a,0 days 02:33:00,-7.34,0.5,1.99,14.67,176.6,-7.34,0.5,1.99,14.67,176.6,7.88,0.69,323.68,19763,ac
,,,train_a,0 days 02:34:00,-7.21,0.47,2.09,15.54,176.83,-7.21,0.47,2.09,15.54,176.83,7.79,1.3,333.85,56582,ac
,,,train_a,0 days 02:35:00,-7.25,0.6,2.04,15.12,175.8,-7.25,0.6,2.04,15.12,175.8,7.81,0.65,311.83,,ac
,,,train_a,0 days 02:36:00,-7.28,0.57,2.08,15.36,175.97,-7.28,0.57,2.08,15.36,175.97,7.84,0.23,305.06,,ac
,,,train_a,0 days 02:37:00,-7.32,0.48,2.03,14.98,176.7,-7.32,0.48,2.03,14.98,176.7,7.85,0.39,312.47,,ac
,,,train_a,0 days 02:38:00,-7.29,0.56,2.02,14.92,176.1,-7.29,0.56,2.02,14.92,176.1,7.84,0.75,310.76,14548,ac
,,,train_a,0 days 02:39:00,-7.3,0.37,2,14.78,177.56,-7.3,0.37,2,14.78,177.56,7.85,0.31,312.81,,ac
,,,train_a,0 days 02:40:00,-7.31,0.15,1.89,14.01,179.23,-7.31,0.15,1.89,14.01,179.23,7.83,0.89,338.24,54829,ac
,,,train_a,0 days 02:41:00,-7.3,0.35,1.95,14.43,177.69,-7.3,0.35,1.95,14.43,177.69,7.83,1.54,332.52,57620,ac
,,,train_a,0 days 02:42:00,-7.3,0.41,2.05,15.16,177.19,-7.3,0.41,2.05,15.16,177.19,7.84,,,,ac
,,,train_a,0 days 02:43:00,-7.23,0.69,2.17,16.04,175.08,-7.23,0.69,2.17,16.04,175.08,7.84,,,,ac
,,,train_a,0 days 02:44:00,-7.2,0.63,2.23,16.49,175.57,-7.2,0.63,2.23,16.49,175.57,7.83,0.27,311.21,,ac
,,,train_a,0 days 02:45:00,-7.12,0.69,2.34,17.4,175.14,-7.12,0.69,2.34,17.4,175.14,7.81,0.44,327.04,15132,ac
,,,train_a,0 days 02:46:00,-7.18,0.68,2.34,17.36,175.18,-7.18,0.68,2.34,17.36,175.18,7.84,0.73,321.2,18586,ac
,,,train_a,0 days 02:47:00,-7.39,0.42,1.98,14.48,177.18,-7.39,0.42,1.98,14.48,177.18,7.93,0.32,311.91,11052,ac
,,,train_a,0 days 02:48:00,-7.27,0.37,2.14,15.83,177.47,-7.27,0.37,2.14,15.83,177.47,7.84,,,,ac
,,,train_a,0 days 02:49:00,-7.33,-0.04,1.82,13.44,180.6,-7.33,-0.04,1.82,13.44,180.6,7.82,0.47,313.41,,ac
,,,train_a,0 days 02:50:00,-7.36,0.27,1.91,14.08,178.34,-7.36,0.27,1.91,14.08,178.34,7.86,1.45,331.55,68854,ac
,,,train_a,0 days 02:51:00,-7.28,0.48,2.22,16.35,176.65,-7.28,0.48,2.22,16.35,176.65,7.88,1.6,334.06,63418,ac
,,,train_a,0 days 02:52:00,-7.2,0.98,2.63,19.24,172.87,-7.2,0.98,2.63,19.24,172.87,7.98,,,,ac
,,,train_a,0 days 02:53:00,-7.22,0.97,2.59,18.9,173.02,-7.22,0.97,2.59,18.9,173.02,8,1.17,340.31,62362,ac
,,,train_a,0 days 02:54:00,-7.15,1.04,2.74,20.03,172.47,-7.15,1.04,2.74,20.03,172.47,8,1.05,342.93,53958,ac
,,,train_a,0 days 02:55:00,-7.06,1.3,2.85,20.89,170.38,-7.06,1.3,2.85,20.89,170.38,7.99,,,,ac
,,,train_a,0 days 02:56:00,-7,1.37,2.94,21.57,169.67,-7,1.37,2.94,21.57,169.67,7.97,0.7,346.53,50286,ac
,,,train_a,0 days 02:57:00,-7.06,1.38,3,21.94,169.72,-7.06,1.38,3,21.94,169.72,8.04,0.82,348.93,53329,ac
,,,train_a,0 days 02:58:00,-6.99,1.39,3.05,22.34,169.65,-6.99,1.39,3.05,22.34,169.65,8.03,1.06,349.4,61211,ac
,,,train_a,0 days 02:59:00,-6.96,1.42,3.16,23.09,169.39,-6.96,1.42,3.16,23.09,169.39,8.06,1.06,349.4,61211,ac
,,,train_a,0 days 03:00:00,-6.83,1.33,3.32,24.42,170,-6.83,1.33,3.32,24.42,170,8.02,0.77,352.57,45112,ac
,,,train_a,0 days 03:01:00,-6.95,1.3,3.34,24.4,170.16,-6.95,1.3,3.34,24.4,170.16,8.07,1.23,345.86,74122,ac
